1:x 2:y 3:p 4:u.x 5:u.y 6:g.x 7:g.y 8:pf 9:uf.x 10:uf.y 11:f 12:predicted_ux 13:predicted_uy 14:predicted_f 15:ff
0 -3.125 0 0 0 0 0 0 0 0 0 0.0161797 -0.000136562 0.114054 0
0 -3.07617 0 0 0 0 0 0 0 0 0 0.0161784 -0.00013354 0.114054 0
0 -3.02734 0 0 0 0 0 0 0 0 0 0.0161759 -0.000127495 0.114056 0
0 -2.97852 0 0 0 0 0 0 0 0 0 0.0161736 -0.000121458 0.114057 0
0 -2.92969 0 0 0 0 0 0 0 0 0 0.0161713 -0.00011548 0.114058 0
0 -2.88086 0 0 0 0 0 0 0 0 0 0.016169 -0.000109589 0.114059 0
0 -2.83203 0 0 0 0 0 0 0 0 0 0.0161667 -0.000103646 0.11406 0
0 -2.7832 0 0 0 0 0 0 0 0 0 0.0161644 -9.76253e-05 0.114061 0
0 -2.73438 0 0 0 0 0 0 0 0 0 0.0161621 -9.16117e-05 0.114063 0
0 -2.68555 0 0 0 0 0 0 0 0 0 0.0161599 -8.55337e-05 0.114064 0
0 -2.63672 0 0 0 0 0 0 0 0 0 0.0161576 -7.93887e-05 0.114065 0
0 -2.58789 0 0 0 0 0 0 0 0 0 0.0161554 -7.32488e-05 0.114066 0
0 -2.53906 0 0 0 0 0 0 0 0 0 0.0161531 -6.71175e-05 0.114067 0
0 -2.49024 0 0 0 0 0 0 0 0 0 0.0161511 -6.09872e-05 0.114068 0
0 -2.44141 0 0 0 0 0 0 0 0 0 0.0161491 -5.48581e-05 0.11407 0
0 -2.39258 0 0 0 0 0 0 0 0 0 0.0161471 -4.84224e-05 0.114071 0
0 -2.34375 0 0 0 0 0 0 0 0 0 0.0161452 -4.18786e-05 0.114072 0
0 -2.29492 0 0 0 0 0 0 0 0 0 0.0161433 -3.56835e-05 0.114073 0
0 -2.24609 0 0 0 0 0 0 0 0 0 0.0161413 -2.96937e-05 0.114074 0
0 -2.19727 0 0 0 0 0 0 0 0 0 0.0161394 -2.38372e-05 0.114075 0
0 -2.14844 0 0 0 0 0 0 0 0 0 0.0161375 -1.80985e-05 0.114077 0
0 -2.09961 0 0 0 0 0 0 0 0 0 0.0161356 -1.23906e-05 0.114078 0
0 -2.05078 0 0 0 0 0 0 0 0 0 0.0161338 -6.66489e-06 0.114079 0
0 -2.00195 0 0 0 0 0 0 0 0 0 0.0161319 -8.29116e-07 0.11408 0
0 -1.95313 0 0 0 0 0 0 0 0 0 0.0161301 5.05224e-06 0.114081 0
0 -1.9043 0 0 0 0 0 0 0 0 0 0.0161283 1.07402e-05 0.114082 0
0 -1.85547 0 0 0 0 0 0 0 0 0 0.0161265 1.6284e-05 0.114084 0
0 -1.80664 0 0 0 0 0 0 0 0 0 0.0161248 2.18205e-05 0.114085 0
0 -1.75781 0 0 0 0 0 0 0 0 0 0.0161231 2.74035e-05 0.114086 0
