1:x 2:y 3:p 4:u.x 5:u.y 6:g.x 7:g.y 8:pf 9:uf.x 10:uf.y 11:f 12:predicted_ux 13:predicted_uy 14:predicted_f 15:ff
0 -3.125 0 0 0 0 0 0 0 0 0 0.00803079 -0.000320824 9.76734e-05 0
0 -3.07617 0 0 0 0 0 0 0 0 0 0.00803351 -0.000436087 9.65289e-05 0
0 -3.02734 0 0 0 0 0 0 0 0 0 0.0080407 -0.000667192 9.4249e-05 0
0 -2.97852 0 0 0 0 0 0 0 0 0 0.00805141 -0.000902155 9.19806e-05 0
0 -2.92969 0 0 0 0 0 0 0 0 0 0.00806566 -0.00114176 8.96779e-05 0
0 -2.88086 0 0 0 0 0 0 0 0 0 0.00808352 -0.00138335 8.73423e-05 0
0 -2.83203 0 0 0 0 0 0 0 0 0 0.00810505 -0.00162574 8.50346e-05 0
0 -2.7832 0 0 0 0 0 0 0 0 0 0.00813034 -0.0018688 8.27324e-05 0
0 -2.73438 0 0 0 0 0 0 0 0 0 0.0081595 -0.00211212 8.04026e-05 0
0 -2.68555 0 0 0 0 0 0 0 0 0 0.00819264 -0.00235697 7.80785e-05 0
0 -2.63672 0 0 0 0 0 0 0 0 0 0.00822992 -0.0026069 7.57697e-05 0
0 -2.58789 0 0 0 0 0 0 0 0 0 0.00827152 -0.00286135 7.34567e-05 0
0 -2.53906 0 0 0 0 0 0 0 0 0 0.00831762 -0.00311625 7.11591e-05 0
0 -2.49024 0 0 0 0 0 0 0 0 0 0.00836844 -0.0033727 6.88461e-05 0
0 -2.44141 0 0 0 0 0 0 0 0 0 0.00842425 -0.00363317 6.65154e-05 0
0 -2.39258 0 0 0 0 0 0 0 0 0 0.00848535 -0.00389776 6.42107e-05 0
0 -2.34375 0 0 0 0 0 0 0 0 0 0.00855208 -0.00416734 6.18989e-05 0
0 -2.29492 0 0 0 0 0 0 0 0 0 0.00862483 -0.00444199 5.95831e-05 0
0 -2.24609 0 0 0 0 0 0 0 0 0 0.00870404 -0.00472174 5.72719e-05 0
0 -2.19727 0 0 0 0 0 0 0 0 0 0.00879022 -0.00500685 5.49575e-05 0
0 -2.14844 0 0 0 0 0 0 0 0 0 0.00888404 -0.00529838 5.26468e-05 0
0 -2.09961 0 0 0 0 0 0 0 0 0 0.00898623 -0.00559662 5.0334e-05 0
0 -2.05078 0 0 0 0 0 0 0 0 0 0.00909747 -0.00590125 4.79993e-05 0
0 -2.00195 0 0 0 0 0 0 0 0 0 0.00921851 -0.0062127 4.56755e-05 0
0 -1.95313 0 0 0 0 0 0 0 0 0 0.0093503 -0.00653134 4.33705e-05 0
