# 1:x 2:y 3:p 4:u.x 5:u.y 6:g.x 7:g.y 8:pf 9:uf.x 10:uf.y 11:f 12:predicted_ux 13:predicted_uy
0 -3.125 0 0 0 0 0 0 0 0 0 -0.101829 -0.0498034
0 -3.07617 0 0 0 0 0 0 0 0 0 -0.101829 -0.0498034
0 -3.02734 0 0 0 0 0 0 0 0 0 -0.101608 -0.0501886
0 -2.97852 0 0 0 0 0 0 0 0 0 -0.101367 -0.0505691
0 -2.92969 0 0 0 0 0 0 0 0 0 -0.101105 -0.0509385
0 -2.88086 0 0 0 0 0 0 0 0 0 -0.10082 -0.0513104
0 -2.83203 0 0 0 0 0 0 0 0 0 -0.100493 -0.051672
0 -2.7832 0 0 0 0 0 0 0 0 0 -0.100128 -0.0520193
0 -2.73438 0 0 0 0 0 0 0 0 0 -0.0997291 -0.0523447
0 -2.68555 0 0 0 0 0 0 0 0 0 -0.099292 -0.0526539
0 -2.63672 0 0 0 0 0 0 0 0 0 -0.098825 -0.0529381
0 -2.58789 0 0 0 0 0 0 0 0 0 -0.0983278 -0.0531844
0 -2.53906 0 0 0 0 0 0 0 0 0 -0.097769 -0.0533914
0 -2.49024 0 0 0 0 0 0 0 0 0 -0.0971607 -0.0535504
0 -2.44141 0 0 0 0 0 0 0 0 0 -0.0965103 -0.0536563
0 -2.39258 0 0 0 0 0 0 0 0 0 -0.0958492 -0.0536968
0 -2.34375 0 0 0 0 0 0 0 0 0 -0.0951282 -0.0536611
0 -2.29492 0 0 0 0 0 0 0 0 0 -0.0943589 -0.0535381
0 -2.24609 0 0 0 0 0 0 0 0 0 -0.0935637 -0.0533181
0 -2.19727 0 0 0 0 0 0 0 0 0 -0.092741 -0.0529825
0 -2.14844 0 0 0 0 0 0 0 0 0 -0.0918847 -0.0525144
0 -2.09961 0 0 0 0 0 0 0 0 0 -0.0910534 -0.0519045
0 -2.05078 0 0 0 0 0 0 0 0 0 -0.0902401 -0.0511314
0 -2.00195 0 0 0 0 0 0 0 0 0 -0.0894473 -0.0501943
0 -1.95313 0 0 0 0 0 0 0 0 0 -0.0886998 -0.0490653
0 -1.9043 0 0 0 0 0 0 0 0 0 -0.0880341 -0.047739
0 -1.85547 0 0 0 0 0 0 0 0 0 -0.0874604 -0.0461666
0 -1.80664 0 0 0 0 0 0 0 0 0 -0.0869899 -0.0443307
0 -1.75781 0 0 0 0 0 0 0 0 0 -0.0866522 -0.0422157
0 -1.70899 0 0 0 0 0 0 0 0 0 -0.0864429 -0.0396831
0 -1.66016 0 0 0 0 0 0 0 0 0 -0.0863737 -0.0366895
0 -1.61133 0 0 0 0 0 0 0 0 0 -0.0864503 -0.033094
0 -1.5625 0 0 0 0 0 0 0 0 0 -0.0866664 -0.0289296
0 -1.51367 0 0 0 0 0 0 0 0 0 -0.0870125 -0.0242742
0 -1.46485 0 0 0 0 0 0 0 0 0 -0.0874875 -0.0188524
0 -1.41602 0 0 0 0 0 0 0 0 0 -0.0880641 -0.0125976
0 -1.36719 0 0 0 0 0 0 0 0 0 -0.0887279 -0.00474274
0 -1.31836 0 0 0 0 0 0 0 0 0 -0.0894848 0.00626548
0 -1.26953 0 0 0 0 0 0 0 0 0 -0.0902679 0.0212785
0 -1.22071 0 0 0 0 0 0 0 0 0 -0.0910749 0.0272916
0 -1.17188 0 0 0 0 0 0 0 0 0 -0.091907 0.0302836
