# 1:x 2:y 3:p 4:u.x 5:u.y 6:g.x 7:g.y 8:pf 9:uf.x 10:uf.y 11:f 12:predicted_ux 13:predicted_uy
0 -3.125 1.6671e-05 -5.16073e-05 -5.15602e-05 -0.000681134 -0.000680061 2.04383e-05 -5.16184e-05 -5.15783e-05 0 -0.119493 -0.0618016
0 -3.07617 1.6671e-05 -5.16073e-05 -5.15602e-05 -0.000681134 -0.000680061 2.04383e-05 -5.16184e-05 -5.15783e-05 0 -0.119493 -0.0618016
0 -3.02734 4.97412e-05 -0.000125253 -5.14065e-05 -0.00203921 -0.000677343 7.80343e-06 -0.000125241 -5.14741e-05 0 -0.119071 -0.0619704
0 -2.97852 8.28178e-05 -0.000207397 -5.13339e-05 -0.00339504 -0.000676702 -2.9369e-06 -0.000207378 -5.13727e-05 0 -0.118612 -0.0620999
0 -2.92969 0.000115825 -0.000289998 -5.11767e-05 -0.00474847 -0.000675201 -1.15166e-05 -0.000289971 -5.12556e-05 0 -0.11812 -0.062186
0 -2.88086 0.000148755 -0.000372387 -5.0995e-05 -0.00609819 -0.000672909 -1.86278e-05 -0.000372354 -5.10881e-05 0 -0.11762 -0.0622189
0 -2.83203 0.000181539 -0.000454427 -5.07645e-05 -0.00744221 -0.000669684 -2.44948e-05 -0.000454386 -5.08805e-05 0 -0.117073 -0.0621896
0 -2.7832 0.000214154 -0.000536042 -5.04898e-05 -0.00877935 -0.0006659 -2.92692e-05 -0.000535993 -5.06282e-05 0 -0.116489 -0.0620891
0 -2.73438 0.000246569 -0.000617159 -5.01708e-05 -0.0101083 -0.000661475 -3.3064e-05 -0.000617102 -5.03313e-05 0 -0.115885 -0.0619094
0 -2.68555 0.000278751 -0.000697706 -4.98088e-05 -0.0114277 -0.000656422 -3.59615e-05 -0.000697641 -4.99908e-05 0 -0.115259 -0.0616351
0 -2.63672 0.000310672 -0.000777614 -4.94052e-05 -0.0127364 -0.000650748 -3.80318e-05 -0.00077754 -4.9608e-05 0 -0.114605 -0.0612528
0 -2.58789 0.000342301 -0.000856815 -4.89616e-05 -0.0140331 -0.000644467 -3.93371e-05 -0.000856734 -4.91843e-05 0 -0.11397 -0.0607538
0 -2.53906 0.000373608 -0.000935245 -4.84796e-05 -0.0153166 -0.000637599 -3.99339e-05 -0.000935156 -4.87215e-05 0 -0.113346 -0.0601196
0 -2.49024 0.000404567 -0.00101284 -4.7961e-05 -0.0165858 -0.000630168 -3.98748e-05 -0.00101275 -4.82212e-05 0 -0.112738 -0.0593498
0 -2.44141 0.000435148 -0.00108955 -4.74076e-05 -0.0178395 -0.000622198 -3.92094e-05 -0.00108944 -4.76851e-05 0 -0.112163 -0.0584194
0 -2.39258 0.000465328 -0.00116531 -4.6821e-05 -0.0190768 -0.000613716 -3.79848e-05 -0.0011652 -4.71151e-05 0 -0.11165 -0.0573222
0 -2.34375 0.000495081 -0.00124006 -4.62033e-05 -0.0202965 -0.000604748 -3.62465e-05 -0.00123995 -4.65129e-05 0 -0.111206 -0.0560138
0 -2.29492 0.000524385 -0.00131377 -4.55563e-05 -0.0214978 -0.000595322 -3.40384e-05 -0.00131365 -4.58805e-05 0 -0.110841 -0.0544691
